smiles
CCCCCCCCCCCCCCC
NCCCCCCN
OCCNCCO
CCCCCCCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCCCCCCC
CCOC(=O)C=C
CCCCCCCCOC(=O)C=C
O=C1OC(=O)C=C1
CC(C)C#N
c1ccccc1
COc1ccccc1
COc1ccccc1N
O=C1c2ccccc2C(=O)c3ccccc13
CCCCCCCC/C=C/CCCCCCCC(=O)OCC(O)C1OCC(O)C1O
CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O
ClCc1ccc(Cl)c(Cl)c1
C1CCC(CC1)N=C=NC2CCCCC2
O=C1OC(=O)C2CC=CCC12
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
C\1C\C=C\CC\C=C\CC\C=C1
CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C
c1ccc(cc1)[Sn](c2ccccc2)(c3ccccc3)c4ccccc4
CC(C)(C)c1cc(N=Nc2ccccc2[N+]([O-])=O)c(O)c(c1)C(C)(C)C
